Reference;Titre;Auteur;Editeur;Code Classement;Genre;XSignet;Prete a;CodeLecteur;Prete le;Rendu le;Annee d'edition;Date d'achat;Origine;Type de document;Cote;Prix;Lieu;NbPage;Contenant;Collection;Photo1;Son1;Frequence;Duree;Format;Annee origine;ISBN;ISSN;Etat;NbEx;Appreciation;Codebarre;AdrInternet;Valeur;Pays Ville;Tomaison;Commentaires;Resume;NbPret;Debut abonnement;Dernier abonnement;Prochain abonnement;Periodicite;Nbr abonnement;Langue;Systeme;Version;Son;Pellicule;Info;NumNotice;DateImportNotice;DateRetourNotice;NomFichierNotice;NomOrigineNotice;Alpha1;Alpha2;Alpha3;Num1;Num2;Date1;Public
55995;Vlaam Stam Flamand – Année 2016 (n° 3 et 4);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55996;Flandre Artois Généalogie – Année 2016 (n° 1 et 2);*;CRGFA (Centre de Recherche Généalogique Flandre-Artois);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55997;Flandre Artois Généalogie – Année 2016 (n° 3 et 4);*;CRGFA (Centre de Recherche Généalogique Flandre-Artois);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55998;Lys généalogie – Année 2016 (n° 105 et 106);*;CGVL (Cercle Généalogique de la Vallée de la Lys);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55999;Lys généalogie – Année 2016 (n° 107 et 108);*;CGVL (Cercle Généalogique de la Vallée de la Lys);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56000;Vlaam Stam Flamand – Année 1999 (n° 1 et 2);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56001;Vlaam Stam Flamand – Année 2010 (n° 1 et 2);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56002;Vlaam Stam Flamand – Année 2010 (n° 3 et 4);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56003;Vlaam Stam Flamand – Année 2010 (n° 5 et 6);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56004;Vlaam Stam Flamand – Année 2011 (n° 1 à 3);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56005;Vlaam Stam Flamand – Année 2011 (n° 4 à 6);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56006;Vlaam Stam Flamand – Année 2012 (n° 1 à 3);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56007;Vlaam Stam Flamand – Année 2012 (n° 4 à 6);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56008;Vlaam Stam Flamand – Année 2013 (n° 1 à 3);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56009;Vlaam Stam Flamand – Année 2013 (n° 4 à 6);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56010;Vlaam Stam Flamand – Année 2014 (n° 1 à 3);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56011;Vlaam Stam Flamand – Année 2014 (n° 4 à 6);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56012;Vlaam Stam Flamand – Année 2015 (n° 1 et 2);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
56013;Vlaam Stam Flamand – Année 2015 (n° 3 et 4);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;56013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
